,"Variable Name","stud_id","schoolunitid","schoolid","type_unit","group","benef","region","province","hhid_tayssir","stud_id_tayssir","gender","age_2010","prob_age","niv_annee2","v0_id_batch","v0_n_fiche","v0_commentaire_v0","v0_i9","v0_i10","v0_i12_niveau","v0_i12_1","v0_i13","v0_i14","v0_i15","v0_i16","v0_i17","v0_id_enf","v0_position_e","v0_a1","v0_a2","v0_a3","v0_a4","v0_a5","v0_a6","v0_a7","v0_a8","v0_a9","v0_a9_second","merge_v0_v1","v1_id_enf_v1","v1_id_enf_old","v1_c2","v1_c3","v1_c4","v1_c5","v1_c6","v1_c7","v1_c8","v1_c9","v1_c10","v1_c11","v1_c12","v1_c13","v1_c14_1","v1_c14_2","v1_c15","v1_c16","v1_fid_batch","v1_id_enf_fed","v1_probleme_fedasso","v1_commentaire","v2_FID_BATCH","v2_id_enfant","v2_c12","v2_c13","v2_c14_1","v2_c14_2","v2_c16","v2_commentaire","merge_v1_v3","v3_id_enf","v3_c2","v3_c3","v3_c7","v3_c11","v3_c15","v3_c12","v3_c13","v3_c14_1","v3_c14_2","v3_c16","v3_n_enf","v3_id_enf_v3_quest","v3_id_enf_v3_fed","v3_fid_batch","v3_miss_v3","v3_commentaires","v4_id_enf","v4_id_batch","v4_n_page","v4_n_enf","v4_c2","v4_c3","v4_c4","v4_c5","v4_c6","v4_c7","v4_c8","v4_c12","v4_c12_b","v4_c11","v4_c11_b","v4_c13","v4_c14_1","v4_c14_2","v4_c15","v4_c16","v4_enf_nouv","v4_pas_dans_quest","v4_commentaires","v4_verif_doublon","v5_n_enf_quest","v5_c12","v5_c12_b","v5_niveau_quest","v5_c13_a","v5_c13_b","v5_c14_a","v5_c14_b","v5_c16","v5_enf_quest","v6_num","v6_c12","v6_c12_b","v6_niv_annee2","v6_c13_a","v6_c13_b","v6_c14_a","v6_c14_b","v6_v4_c15","v6_c16","q3_q11","q3_q12","q3_q13","q3_quest","q4_j9_1","q4_j9_2","q4_quest","v0_com_access","v0_date","v0_inacc","v1_com_access","v1_date","v1_heure","v1_inacc","v2_com_access","v2_date","v2_heure","v2_inacc","v3_com_access","v3_date","v3_heure","v3_inacc","v4_com_access","v4_date","v4_heure","v4_inacc","v5_com_access","v5_date","v5_heure","v5_inacc","v6_com_access","v6_date","v6_heure","v6_inacc"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","str9","str4","str30","str23","byte","str6","str30","str20","str7","str9","str1","str3","str1","byte","str14","str13","str72","str3","str4","byte","byte","byte","byte","byte","byte","byte","str8","byte","str25","str18","byte","str1","str28","str29","str26","str27","byte","byte","str1","str11","str10","str25","str18","byte","byte","str2","str28","str26","str27","byte","byte","byte","str6","str8","str20","byte","byte","str14","str10","str1","str46","str14","str10","byte","str5","str6","str20","byte","str38","str1","str11","str25","str18","str28","byte","byte","byte","str6","str8","str20","byte","int","str11","str11","str14","str1","str46","str11","str7","str2","int","str20","str18","byte","byte","str1","str11","str10","byte","str1","byte","byte","str5","str6","str20","byte","byte","byte","str1","str42","str1","int","byte","str3","str1","str3","str3","str6","str17","byte","str1","int","byte","str3","str1","str3","str3","str6","str14","byte","byte","byte","byte","byte","float","byte","byte","float","str34","str6","float","str46","str6","str4","float","str29","str7","str4","float","str55","str6","str4","float","str29","str6","str9","float","str58","str6","str9","float","str29","str6","str19","float"
,"Decimal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0"
