,"Variable Name","hhid_endline","hhid_tayssir","stud_id_tayssir","schoolunitid","schoolid","type_unit","group","benef","region","province","datenaiseleve","genre_el","degreparente_el","id_annescol_el","montant9_2008","montant_th9_2008","montant10_2008","montant_th10_2008","montant11_2008","montant_th11_2008","montant12_2008","montant_th12_2008","montant1_2008","montant_th1_2008","montant2_2008","montant_th2_2008","montant3_2008","montant_th3_2008","montant4_2008","montant_th4_2008","montant5_2008","montant_th5_2008","montant6_2008","montant_th6_2008","montant9_2009","montant_th9_2009","montant10_2009","montant_th10_2009","montant11_2009","montant_th11_2009","montant12_2009","montant_th12_2009","montant1_2009","montant_th1_2009","montant2_2009","montant_th2_2009","montant3_2009","montant_th3_2009","montant4_2009","montant_th4_2009","montant5_2009","montant_th5_2009","montant6_2009","montant_th6_2009","abs11_2008","abs12_2008","abs1_2008","abs2_2008","abs3_2008","abs4_2008","abs5_2008","abs6_2008","abs9_2009","abs10_2009","abs11_2009","abs12_2009","abs1_2009","abs2_2009","abs3_2009","abs4_2009","abs5_2009","abs6_2009","montantT1_9_10_2008normal","payeT1_9_10_2008normal","montantT2_11_2_2008normal","payeT2_11_2_2008normal","montantT3_3_6_2008normal","payeT3_3_6_2008normal","montantT4_9_10_2009normal","payeT4_9_10_2009normal","montantT4_9_10_2009relicat","payeT4_9_10_2009relicat","montantT5_11_12_2009normal","payeT5_11_12_2009normal","montantT6_1_2_2009normal","payeT6_1_2_2009normal","montantT7_3_4_2009normal","payeT7_3_4_2009normal","montantT8_5_6_2009normal","payeT8_5_6_2009normal","montantTX_9_2_2008relicat","payeTX_9_2_2008relicat","montantTX_9_2_2009relicat","payeTX_9_2_2009relicat","montantTX_9_4_2009relicat","payeTX_9_4_2009relicat","montantTX_x_x_2008relicat","payeTX_x_x_2008relicat","montantTX_x_x_2009relicat","payeTX_x_x_2009relicat"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","str8","str7","str9","str4","str30","str23","byte","str6","str46","str20","str23","str1","str4","int","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1","int","str1"
,"Decimal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Interval","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT","DISCRETE","TEXT"
